,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1831,Bitcoin Cash,BCH,bitcoin-cash,1109,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19975290.625,19975290.625,False,11887263104.12,,11,,,,2026-01-02T13:34:00.000Z,595.0983806583105,338722880.0834374,27.6387,0.19976721,0.48389164,-1.50370471,0.80705219,13.92357928,0.81174304,11887263104.11663,0.392,12497065993.82,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
11,1975,Chainlink,LINK,chainlink,2175,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'x-layer-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022']",1000000000.0,708099970.4525867,1000000000.0,False,13016673450.81,,12,,,,2026-01-02T13:34:00.000Z,13.016673450807591,662643224.3858683,50.4485,0.64735258,6.34417907,4.59098601,-10.45098759,-18.7836799,-40.92317689,9217106085.907824,0.3039,13016673450.81,,2026-01-02T13:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2026-01-02 13:36:01.529495
12,3957,UNUS SED LEO,LEO,unus-sed-leo,65,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,921733225.9,985239504.0,False,9473055059.77,,13,,,,2026-01-02T13:35:00.000Z,9.614976887665467,538971.58377349,-55.1463,-0.1478147,1.09357951,13.73515524,2.10050896,0.49754245,-0.02408679,8862443663.621832,0.2922,9473055059.77,,2026-01-02T13:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2026-01-02 13:36:01.529495
13,32196,Hyperliquid,HYPE,hyperliquid,222,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",961671487.86,339347639.0,961671487.86,False,23563822125.71,,14,333931719.0,8182323930.76348,,2026-01-02T13:34:00.000Z,24.502985087090455,262176866.10775188,63.3149,0.03630233,-4.40172014,-2.26520062,-28.16161367,-40.72658715,-49.53779993,8315030137.756355,0.2742,23563822125.71,,2026-01-02T13:34:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2026-01-02 13:36:01.529495
14,1437,Zcash,ZEC,zcash,559,2016-10-29T00:00:00.000Z,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'quantum-resistant', 'binance-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'layer-1', 'standard-crypto-portfolio', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",21000000.0,16466891.5405448,16466891.5405448,False,8177900806.34,,15,,,,2026-01-02T13:34:00.000Z,496.6268701173235,580128725.0299733,7.0789,-0.59150429,-5.9448612,11.00554805,45.66994079,26.08647251,243.29545006,8177900806.3421955,0.2696,10429164272.46,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
15,328,Monero,XMR,monero,347,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",,18446744.07370955,18446744.07370955,True,7761786769.03,,16,,,,2026-01-02T13:34:00.000Z,420.7673038678161,65623163.04396483,17.5496,0.0646254,-0.8893901,-4.46274661,3.8790254,20.19302285,30.1856392,7761786769.034383,0.2559,7761786769.03,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
16,512,Stellar,XLM,stellar,792,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'iso-20022']",50001806812.0,32384997074.914433,50001786883.65895,False,10585265079.0,,17,31531408660.0,6675127826.068565,,2026-01-02T13:34:00.000Z,0.21169773599542588,149040242.0110534,-1.0169,0.88365925,3.55355501,-2.14675115,-17.30901908,-27.30184718,-46.63045332,6855830560.977875,0.2261,10585269297.78,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
17,29470,Ethena USDe,USDe,ethena-usde,256,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem', 'plasma-ecosystem']",,6302830416.684977,6302830416.684977,True,6294081060.39,,18,,,,2026-01-02T13:34:00.000Z,0.9986118369504633,56435672.22259923,-1.2838,0.00396588,0.03468406,-0.00339656,-0.09491849,-0.08041611,-0.17564207,6294081060.393039,0.2075,6294081060.39,,2026-01-02T13:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2026-01-02 13:36:01.529495
18,2,Litecoin,LTC,litecoin,1485,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'privacy', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",84000000.0,76693195.73347135,84000000.0,False,6723898324.15,,19,,,,2026-01-02T13:35:00.000Z,80.04640862079223,305406757.60046405,12.2728,0.3668019,2.97611154,3.56600261,-6.16611991,-12.94270094,-32.49038434,6139014884.115848,0.2024,6723898324.15,,2026-01-02T13:35:00.000Z,,,,,,2026-01-02 13:36:01.529495
19,20947,Sui,SUI,sui,877,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",10000000000.0,3792183074.7738876,10000000000.0,False,15200786145.84,,20,3792183074.77,5764416394.543866,,2026-01-02T13:34:00.000Z,1.5200786145836285,526258989.3905694,23.6505,0.81704341,8.21544672,8.11636327,-11.18599474,-30.09540208,-57.27032703,5764416394.549775,0.1901,15200786145.84,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
20,5805,Avalanche,AVAX,avalanche,1030,2020-07-13T00:00:00.000Z,"['smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets-protocols', 'layer-1', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",715748719.0,430108368.7741656,461777468.7741656,False,6179359379.26,,21,,,,2026-01-02T13:34:00.000Z,13.381682297466078,603485085.8705378,177.4387,0.12733365,8.28186221,7.4496365,-5.5839264,-23.54178338,-56.03383983,5755573544.417263,0.1898,9577921962.48,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
21,37263,Canton,CC,canton-network,58,2025-07-08T04:07:45.000Z,"['proof-of-authority', 'store-of-value', 'enterprise-solutions', 'privacy', 'interoperability', 'scaling', 'smart-contracts', 'layer-1', 'binance-ecosystem', 'binance-listing', 'privacy-blockchain']",,36886351621.29408,36886351621.29408,True,5614582766.08,,22,36882806616.49,5614043170.209761,,2026-01-02T13:34:00.000Z,0.1522130142802031,61886641.35422869,10.2016,-2.96973712,-12.97231453,58.68107485,89.61097593,0.36510705,0.36510705,5614582766.076629,0.1851,5614582766.08,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
22,4943,Dai,DAI,multi-collateral-dai,3656,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem']",,5365382702.664872,5365382702.664872,True,5362794370.39,,23,,,,2026-01-02T13:35:00.000Z,0.9995175866446951,83632595.02364424,-5.0062,-0.01356382,0.00108033,-0.03284974,-0.02450915,-0.04577849,-0.00908764,5362794370.392785,0.1768,5362794370.39,,2026-01-02T13:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2026-01-02 13:36:01.529495
23,4642,Hedera,HBAR,hedera,409,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets-protocols', 'layer-1', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'iso-20022']",50000000000.0,42776708614.54152,50000000000.0,False,5984054292.5,,24,,,,2026-01-02T13:35:00.000Z,0.1196810858500453,152055328.17400688,18.6379,0.96500591,10.8580003,5.32586663,-17.5626509,-34.40155857,-45.62764684,5119562936.079316,0.1688,5984054292.5,,2026-01-02T13:35:00.000Z,,,,,,2026-01-02 13:36:01.529495
24,5994,Shiba Inu,SHIB,shiba-inu,1028,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel', 'bnb-chain-ecosystem', 'base-ecosystem', 'animal-memes', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem']",589552695333683.0,589244061869948.4,589500546517452.8,False,4562763421.69,,25,589551575078137.0,4563158385.273687,,2026-01-02T13:35:00.000Z,7.740049519278959e-06,152422291.82255894,56.3803,2.39463309,10.18910897,7.29326374,-13.80420921,-19.49365741,-37.86872687,4560778217.814475,0.1504,4563167056.11,,2026-01-02T13:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2026-01-02 13:36:01.529495
25,11419,Toncoin,TON,toncoin,844,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025', 'binance-ecosystem', 'binance-listing']",,2416298729.3533444,5150104291.624151,True,8896847834.02,,26,,,,2026-01-02T13:34:00.000Z,1.7275082853159733,97816564.64713576,-16.458,0.90642451,2.83911565,12.39397346,7.79395387,-20.5496095,-38.57339505,4174176074.756361,0.1376,8896847834.02,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
26,33251,World Liberty Financial,WLFI,world-liberty-financial-wlfi,393,2024-10-01T02:34:47.000Z,"['defi', 'ethereum-ecosystem', 'solana-ecosystem', 'bnb-chain-ecosystem', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'wlfi-ecosystem']",100000000000.0,26735545094.0,100000000000.0,False,15288470778.05,,27,,,,2026-01-02T13:34:00.000Z,0.15288470778047075,75793700.66595773,27.7817,2.21279323,5.09335171,8.38806102,-5.34478678,24.43886499,-24.10305142,4087455999.0477886,0.1348,15288470778.05,,2026-01-02T13:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdA5e1988097297dCdc1f90D4dFE7909e847CBeF6,2026-01-02 13:36:01.529495
27,7083,Uniswap,UNI,uniswap,1370,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'ethereum-ecosystem', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'polygon-ecosystem', 'terra-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cmc-crypto-awards-2024', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem']",,630275562.7469889,899910420.0370889,False,5243690914.25,,28,,,0.91602485,2026-01-02T13:35:00.000Z,5.826903208912165,284670962.67752635,3.66,0.46817363,2.95803183,-1.74116577,-3.7482727,8.05835716,-27.20450515,3672554699.06935,0.1211,5243690914.25,4009230441.0,2026-01-02T13:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2026-01-02 13:36:01.529495
28,3635,Cronos,CRO,cronos,335,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'centralized-exchange', 'mobile', 'payments', 'layer-1']",100000000000.0,38582500208.012634,98282500828.60431,False,9331060762.03,,29,97393210558.0,9246630456.730753,,2026-01-02T13:35:00.000Z,0.0949412223270344,14947919.70108659,-35.9604,0.126256,4.37718932,1.98607444,-14.16460664,-30.18796997,-55.06409735,3663069730.181779,0.1208,9494122232.7,,2026-01-02T13:35:00.000Z,,,,,,2026-01-02 13:36:01.529495
29,27772,PayPal USD,PYUSD,paypal-usd,145,2023-08-21T14:30:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'usd-stablecoin', 'fiat-stablecoin']",,3612379000.580149,3612379000.580149,False,3611012394.46,,30,,,,2026-01-02T13:34:00.000Z,0.9996216880575526,163767482.58121258,-3.5367,0.00646374,-0.01144903,-0.01145067,0.00011868,0.00070724,0.00136786,3611012394.4635835,0.1191,3611012394.46,,2026-01-02T13:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6c3ea9036406852006290770bedfcaba0e23a0e8,2026-01-02 13:36:01.529495
30,6636,Polkadot,DOT,polkadot-new,1004,2020-08-19T00:00:00.000Z,"['defi', 'ethereum-ecosystem', 'substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'arbitrum-ecosystem', 'spartan-group', 'optimism-ecosystem', 'osmosis-ecosystem', 'base-ecosystem', 'gnosis-chain-ecosystem', 'binance-ecosystem', 'binance-listing']",,1651342323.9991374,1651342323.9991374,True,3288413404.85,,31,,,,2026-01-02T13:34:00.000Z,1.9913577924190573,258253007.39827198,104.7011,0.52518186,9.04770236,15.49776308,-12.95390281,-27.98505265,-52.9695544,3288413404.847078,0.1084,3288413404.85,,2026-01-02T13:34:00.000Z,,,,,,2026-01-02 13:36:01.529495
